Filename;Author;Title;DateOfPublication
DiccionariodeVandelli.txt;VANDELLI, Domingos;Diccionario dos Termos Technicos de Historia Natural;1788
AnatomiadeSantucci.txt;SANTUCCI, Bernardo;Anatomia do corpo humano;1739
Compendio1deBrotero.txt;BROTERO, Felix Avellar;Compendio de Botanica;1788
